Date,Price
2023-09-12,547.33
2023-09-11,546.0
2023-09-08,545.0
2023-09-07,550.0
2023-09-06,552.5
2023-09-05,553.33
2023-09-04,553.33
2023-09-01,551.58
2023-08-31,545.0
2023-08-30,543.67
2023-08-29,545.33
2023-08-28,549.0
2023-08-25,554.0
2023-08-24,554.0
2023-08-23,555.0
2023-08-22,545.0
2023-08-21,545.0
2023-08-18,545.0
2023-08-17,548.33
2023-08-16,555.0
2023-08-15,555.0
2023-08-14,555.0
2023-08-11,560.0
2023-08-10,561.67
2023-08-09,565.0
2023-08-08,568.33
2023-08-07,568.33
2023-08-04,568.33
2023-08-03,564.0
2023-08-02,570.0
2023-08-01,575.0
2023-07-31,575.0
2023-07-28,575.0
2023-07-27,575.0
2023-07-26,575.0
2023-07-25,575.0
2023-07-24,561.67
2023-07-21,552.33
2023-07-20,551.25
2023-07-19,553.33
2023-07-18,553.33
2023-07-17,551.67
2023-07-14,558.33
2023-07-13,548.75
2023-07-12,542.49
2023-07-11,541.67
2023-07-10,538.67
2023-07-07,542.67
2023-07-06,542.67
2023-07-05,542.68
2023-07-04,543.33
2023-07-03,541.67
2023-06-30,541.67
2023-06-29,541.67
2023-06-28,541.67
2023-06-27,543.33
2023-06-26,530.0
2023-06-23,544.0
2023-06-22,544.0
2023-06-21,544.0
2023-06-20,548.33
2023-06-19,556.67
2023-06-16,556.67
2023-06-15,549.77
2023-06-14,545.0
2023-06-13,543.25
2023-06-12,540.0
2023-06-09,545.0
2023-06-08,540.0
2023-06-07,539.0
2023-06-06,539.47
2023-06-05,539.47
2023-06-02,524.43
2023-06-01,521.67
2023-05-31,518.33
2023-05-30,523.33
2023-05-29,530.0
2023-05-26,530.0
2023-05-25,529.33
2023-05-24,531.67
2023-05-23,538.33
2023-05-22,545.67
2023-05-19,548.33
2023-05-18,552.0
2023-05-17,555.0
2023-05-16,553.33
2023-05-15,556.67
2023-05-12,550.0
2023-05-11,550.0
2023-05-10,560.0
2023-05-09,570.0
2023-05-08,570.0
2023-05-05,550.0
2023-05-04,561.67
2023-05-03,580.0
2023-05-02,580.0
2023-05-01,580.0
2023-04-28,580.0
2023-04-27,580.0
2023-04-26,580.0
2023-04-25,585.0
2023-04-24,585.0
2023-04-21,595.0
2023-04-20,608.33
2023-04-19,610.33
2023-04-18,613.33
